disease_name,severity,cause,treatment_solution,prevention_tips,fertilizer_recommendation
Mango___Powdery_Mildew,Low,Fungal infection in humid conditions,Early-stage control for Mango___Powdery_Mildew: apply light preventive dose of Spray sulfur fungicide and monitor crop weekly,Ensure proper air circulation,Apply balanced NPK
Mango___Powdery_Mildew,Medium,Fungal infection in humid conditions,Moderate infection of Mango___Powdery_Mildew: apply recommended field dose of Spray sulfur fungicide twice at 7-day interval,Ensure proper air circulation,Apply balanced NPK
Mango___Powdery_Mildew,High,Fungal infection in humid conditions,Severe spread of Mango___Powdery_Mildew: apply systemic fungicide schedule using Spray sulfur fungicide immediately and repeat after 5 days,Ensure proper air circulation,Apply balanced NPK
Mango___Anthracnose,Low,Colletotrichum fungus infection,Early-stage control for Mango___Anthracnose: apply light preventive dose of Apply copper fungicide and monitor crop weekly,Prune infected branches,Use potassium rich fertilizer
Mango___Anthracnose,Medium,Colletotrichum fungus infection,Moderate infection of Mango___Anthracnose: apply recommended field dose of Apply copper fungicide twice at 7-day interval,Prune infected branches,Use potassium rich fertilizer
Mango___Anthracnose,High,Colletotrichum fungus infection,Severe spread of Mango___Anthracnose: apply systemic fungicide schedule using Apply copper fungicide immediately and repeat after 5 days,Prune infected branches,Use potassium rich fertilizer
Mango___Healthy,Low,No disease detected,No treatment required,Maintain regular crop care,Maintain regular fertilization
Mango___Healthy,Medium,No disease detected,No treatment required,Maintain regular crop care,Maintain regular fertilization
Mango___Healthy,High,No disease detected,No treatment required,Maintain regular crop care,Maintain regular fertilization
Jowar___Rust,Low,Rust fungus infection,Early-stage control for Jowar___Rust: apply light preventive dose of Spray propiconazole fungicide and monitor crop weekly,Use resistant varieties,Apply nitrogen fertilizer moderately
Jowar___Rust,Medium,Rust fungus infection,Moderate infection of Jowar___Rust: apply recommended field dose of Spray propiconazole fungicide twice at 7-day interval,Use resistant varieties,Apply nitrogen fertilizer moderately
Jowar___Rust,High,Rust fungus infection,Severe spread of Jowar___Rust: apply systemic fungicide schedule using Spray propiconazole fungicide immediately and repeat after 5 days,Use resistant varieties,Apply nitrogen fertilizer moderately
Jowar___Healthy,Low,No disease detected,No treatment required,Maintain regular crop care,Apply balanced NPK
Jowar___Healthy,Medium,No disease detected,No treatment required,Maintain regular crop care,Apply balanced NPK
Jowar___Healthy,High,No disease detected,No treatment required,Maintain regular crop care,Apply balanced NPK
Wheat___Yellow_Rust,Low,Fungal rust infection,Early-stage control for Wheat___Yellow_Rust: apply light preventive dose of Spray triazole fungicide and monitor crop weekly,Use resistant seeds,Apply nitrogen in split doses
Wheat___Yellow_Rust,Medium,Fungal rust infection,Moderate infection of Wheat___Yellow_Rust: apply recommended field dose of Spray triazole fungicide twice at 7-day interval,Use resistant seeds,Apply nitrogen in split doses
Wheat___Yellow_Rust,High,Fungal rust infection,Severe spread of Wheat___Yellow_Rust: apply systemic fungicide schedule using Spray triazole fungicide immediately and repeat after 5 days,Use resistant seeds,Apply nitrogen in split doses
Wheat___Brown_Rust,Low,Fungal rust infection,Early-stage control for Wheat___Brown_Rust: apply light preventive dose of Apply propiconazole and monitor crop weekly,Remove infected residues,Apply micronutrients
Wheat___Brown_Rust,Medium,Fungal rust infection,Moderate infection of Wheat___Brown_Rust: apply recommended field dose of Apply propiconazole twice at 7-day interval,Remove infected residues,Apply micronutrients
Wheat___Brown_Rust,High,Fungal rust infection,Severe spread of Wheat___Brown_Rust: apply systemic fungicide schedule using Apply propiconazole immediately and repeat after 5 days,Remove infected residues,Apply micronutrients
Wheat___Healthy,Low,No disease detected,No treatment required,Maintain regular crop care,Apply recommended NPK
Wheat___Healthy,Medium,No disease detected,No treatment required,Maintain regular crop care,Apply recommended NPK
Wheat___Healthy,High,No disease detected,No treatment required,Maintain regular crop care,Apply recommended NPK
Sugarcane___Red_Rot,Low,Fungal infection,Early-stage control for Sugarcane___Red_Rot: apply light preventive dose of Use carbendazim treatment and monitor crop weekly,Plant disease free setts,Apply potash fertilizer
Sugarcane___Red_Rot,Medium,Fungal infection,Moderate infection of Sugarcane___Red_Rot: apply recommended field dose of Use carbendazim treatment twice at 7-day interval,Plant disease free setts,Apply potash fertilizer
Sugarcane___Red_Rot,High,Fungal infection,Severe spread of Sugarcane___Red_Rot: apply systemic fungicide schedule using Use carbendazim treatment immediately and repeat after 5 days,Plant disease free setts,Apply potash fertilizer
Sugarcane___Bacterial_Blight,Low,Bacterial infection,Early-stage control for Sugarcane___Bacterial_Blight: apply light preventive dose of Apply copper bactericide and monitor crop weekly,Improve drainage,Use balanced fertilizers
